trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.6, 'e': 0.9999500004166653}",30,0,-238.8499676287751,"{0: 14, 1: 6, 2: 6, 3: 0, 4: 4}",0
2,False,"{'a': 0.6, 'e': 0.9998000066665778}",25,14,-31.506202641297524,"{0: 6, 1: 1, 2: 4, 3: 0, 4: 0}",1
3,False,"{'a': 0.6, 'e': 0.9995500337489875}",25,0,-107.40156061089912,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
4,False,"{'a': 0.6, 'e': 0.9992001066609779}",30,0,-117.9581726102182,"{0: 21, 1: 2, 2: 5, 3: 0, 4: 2}",0
5,False,"{'a': 0.6, 'e': 0.9987502603949663}",25,0,-60.21163852177696,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
6,False,"{'a': 0.6, 'e': 0.9982005399352042}",25,0,-167.37792729534712,"{0: 16, 1: 2, 2: 2, 3: 2, 4: 3}",0
7,False,"{'a': 0.6, 'e': 0.9975510002532796}",25,0,-85.5843784883225,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
8,False,"{'a': 0.6, 'e': 0.9968017063026194}",30,0,-267.7470620524542,"{0: 14, 1: 1, 2: 11, 3: 0, 4: 4}",1
9,False,"{'a': 0.6, 'e': 0.9959527330119943}",30,0,-175.46071385987088,"{0: 19, 1: 4, 2: 2, 3: 2, 4: 3}",1
10,False,"{'a': 0.6, 'e': 0.9950041652780258}",25,5,-129.3731542631188,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",1
11,False,"{'a': 0.6, 'e': 0.9939560979566968}",30,0,-175.49190450479625,"{0: 16, 1: 4, 2: 7, 3: 1, 4: 2}",0
12,False,"{'a': 0.6, 'e': 0.9928086358538663}",30,0,-88.34720780461997,"{0: 21, 1: 2, 2: 6, 3: 0, 4: 1}",0
13,False,"{'a': 0.6, 'e': 0.9915618937147881}",25,0,-150.63642249926443,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
14,False,"{'a': 0.6, 'e': 0.9902159962126371}",25,12,-49.881475737858466,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 1}",1
15,False,"{'a': 0.6, 'e': 0.9887710779360422}",25,0,-108.17342001049965,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
16,False,"{'a': 0.6, 'e': 0.9872272833756269}",20,0,-41.01884108587261,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
17,False,"{'a': 0.6, 'e': 0.9855847669095608}",30,0,-180.41470815619837,"{0: 15, 1: 4, 2: 9, 3: 0, 4: 2}",1
18,False,"{'a': 0.6, 'e': 0.9838436927881214}",20,0,-91.89881586837457,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
19,False,"{'a': 0.6, 'e': 0.9820042351172703}",20,0,-88.50045444922632,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
20,False,"{'a': 0.6, 'e': 0.9800665778412416}",30,19,-19.519657394612818,"{0: 7, 1: 2, 2: 2, 3: 0, 4: 0}",1
21,False,"{'a': 0.6, 'e': 0.9780309147241483}",25,0,-105.36822456146022,"{0: 10, 1: 7, 2: 8, 3: 0, 4: 0}",0
22,False,"{'a': 0.6, 'e': 0.9758974493306055}",20,0,-117.17303868531675,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
23,False,"{'a': 0.6, 'e': 0.9736663950053749}",20,0,-111.92032483188903,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
24,False,"{'a': 0.6, 'e': 0.9713379748520297}",20,0,-50.553150468381475,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
25,False,"{'a': 0.6, 'e': 0.9689124217106447}",20,0,-143.83472077608155,"{0: 9, 1: 4, 2: 4, 3: 1, 4: 2}",0
26,False,"{'a': 0.6, 'e': 0.9663899781345132}",35,0,-79.51614478448636,"{0: 26, 1: 5, 2: 2, 3: 1, 4: 1}",0
27,False,"{'a': 0.6, 'e': 0.9637708963658905}",25,0,-76.86467491838118,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
28,False,"{'a': 0.6, 'e': 0.9610554383107709}",25,0,-97.81994376998175,"{0: 17, 1: 5, 2: 1, 3: 0, 4: 2}",0
29,False,"{'a': 0.6, 'e': 0.9582438755126972}",20,4,-18.464394777783824,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 0}",1
30,False,"{'a': 0.6, 'e': 0.955336489125606}",25,0,-142.3511808974803,"{0: 14, 1: 3, 2: 4, 3: 3, 4: 1}",0
31,False,"{'a': 0.6, 'e': 0.9523335698857134}",20,0,-182.75630992875105,"{0: 11, 1: 3, 2: 2, 3: 0, 4: 4}",0
32,False,"{'a': 0.6, 'e': 0.9492354180824408}",30,7,-133.44888429844286,"{0: 13, 1: 4, 2: 3, 3: 1, 4: 2}",1
33,False,"{'a': 0.6, 'e': 0.946042343528387}",25,0,-172.33562121923686,"{0: 15, 1: 0, 2: 7, 3: 0, 4: 3}",0
